time,open,high,low,close,volume
1631181420000,13.263,13.28,13.262,13.263,3763.52
1631181480000,13.262,13.282,13.13,13.163,4681.26
1631181540000,13.153,13.177,12.954,12.972,21506.42
1631181600000,12.964,12.999,12.853,12.886,30229.45
1631181660000,12.878,12.986,12.878,12.911,12048.74
1631181720000,12.903,12.951,12.9,12.9,8348.97
1631181780000,12.9,12.946,12.9,12.907,12705.61
1631181840000,12.907,13.0,12.907,12.931,9758.63
1631181900000,12.935,13.1,12.933,13.087,16462.04
1631181960000,13.076,13.16,13.067,13.155,18237.9
1631182020000,13.133,13.31,13.132,13.207,23412.59
1631182080000,13.207,13.28,13.2,13.247,25398.15
1631182140000,13.248,13.341,13.248,13.295,19133.42
1631182200000,13.293,13.317,13.214,13.252,14962.16
1631182260000,13.25,13.252,13.095,13.095,20673.83
1631182320000,13.096,13.098,12.967,13.034,15654.92
1631182380000,13.035,13.181,13.016,13.084,6039.9
1631182440000,13.06,13.192,13.032,13.117,8034.21
1631182500000,13.11,13.127,13.044,13.086,4801.72
1631182560000,13.086,13.3,13.072,13.289,19770.85
1631182620000,13.286,13.29,13.144,13.25,9489.47
1631182680000,13.229,13.248,13.124,13.135,5551.26
1631182740000,13.135,13.143,13.003,13.023,8647.5
1631182800000,13.025,13.049,12.956,12.96,9751.45
1631182860000,12.97,12.974,12.773,12.819,30668.74
1631182920000,12.818,12.82,12.569,12.595,54270.53
1631182980000,12.596,12.623,12.527,12.565,34646.03
1631183040000,12.563,12.685,12.527,12.677,29027.11
1631183100000,12.675,12.743,12.66,12.707,19887.2
1631183160000,12.705,12.705,12.523,12.551,21542.7
1631183220000,12.549,12.657,12.539,12.648,12964.13
1631183280000,12.648,12.7,12.6,12.663,10216.25
1631183340000,12.663,12.679,12.626,12.666,2906.09
1631183400000,12.666,12.788,12.665,12.785,10838.16
1631183460000,12.785,12.981,12.772,12.918,18540.17
1631183520000,12.913,12.969,12.886,12.958,5105.05
1631183580000,12.959,12.965,12.858,12.858,9361.78
1631183640000,12.866,12.884,12.75,12.75,5059.06
1631183700000,12.742,12.744,12.707,12.71,5661.69
1631183760000,12.709,12.727,12.61,12.638,4860.52
1631183820000,12.625,12.639,12.547,12.547,10574.92
1631183880000,12.547,12.681,12.5,12.661,20298.38
1631183940000,12.661,12.729,12.637,12.647,5786.13
1631184000000,12.655,12.85,12.618,12.845,14091.43
1631184060000,12.846,12.909,12.835,12.852,4543.8
1631184120000,12.844,12.844,12.625,12.641,10431.19
1631184180000,12.64,12.789,12.621,12.743,8492.45
1631184240000,12.749,12.761,12.671,12.671,8037.61
1631184300000,12.678,12.678,12.6,12.631,5888.61
1631184360000,12.627,12.701,12.608,12.614,4565.04
1631184420000,12.629,12.795,12.602,12.734,21715.91
1631184480000,12.751,12.783,12.612,12.711,6563.5
1631184540000,12.719,12.872,12.7,12.865,9090.67
1631184600000,12.872,12.881,12.8,12.847,6684.46
1631184660000,12.864,12.875,12.754,12.775,15937.26
1631184720000,12.78,12.803,12.765,12.792,4548.9
1631184780000,12.791,13.034,12.791,12.968,43280.97
1631184840000,12.966,13.043,12.931,12.935,16667.8
1631184900000,12.922,12.923,12.838,12.913,6630.6
1631184960000,12.902,13.0,12.902,12.96,9023.85
1631185020000,12.99,13.138,12.99,13.09,19556.88
1631185080000,13.09,13.258,13.088,13.252,38839.41
1631185140000,13.252,13.293,13.111,13.142,24659.63
1631185200000,13.147,13.19,13.01,13.012,18340.32
1631185260000,13.01,13.082,13.01,13.05,8834.06
1631185320000,13.05,13.25,13.049,13.241,27303.15
1631185380000,13.243,13.326,13.201,13.307,32049.09
1631185440000,13.308,13.35,13.256,13.284,20089.72
1631185500000,13.291,13.291,13.067,13.067,11943.5
1631185560000,13.071,13.085,13.038,13.047,3971.86
1631185620000,13.046,13.286,13.04,13.201,8015.02
1631185680000,13.188,13.349,13.157,13.309,11972.8
1631185740000,13.306,13.34,13.221,13.275,11237.04
1631185800000,13.263,13.265,13.111,13.118,6116.33
1631185860000,13.117,13.262,13.073,13.258,9370.78
1631185920000,13.258,13.262,13.111,13.135,12089.09
1631185980000,13.139,13.193,13.127,13.166,1742.05
1631186040000,13.168,13.2,13.147,13.18,4923.23
1631186100000,13.177,13.198,13.162,13.179,3672.76
1631186160000,13.175,13.248,13.175,13.247,7267.21
1631186220000,13.248,13.387,13.247,13.355,24230.2
1631186280000,13.355,13.606,13.315,13.605,63529.99
1631186340000,13.603,13.789,13.601,13.66,43867.02
1631186400000,13.658,13.737,13.5,13.575,41199.57
1631186460000,13.579,13.835,13.579,13.787,105308.28
1631186520000,13.785,13.788,13.441,13.5,21666.17
1631186580000,13.5,13.573,13.453,13.474,11414.61
1631186640000,13.482,13.486,13.378,13.382,13860.19
1631186700000,13.382,13.723,13.376,13.676,36708.93
1631186760000,13.672,13.75,13.545,13.59,18105.23
1631186820000,13.597,13.67,13.542,13.6,17475.86
1631186880000,13.594,13.75,13.5,13.749,30239.89
1631186940000,13.749,13.784,13.685,13.69,33071.15
1631187000000,13.697,13.867,13.668,13.789,32374.27
1631187060000,13.787,14.098,13.717,14.07,205221.7
1631187120000,14.08,14.2,14.0,14.195,87029.06
1631187180000,14.193,14.619,14.136,14.4,144312.18
1631187240000,14.374,14.684,14.282,14.46,89934.26
1631187300000,14.492,14.82,14.424,14.765,108512.17
1631187360000,14.776,14.943,14.601,14.721,101692.47
1631187420000,14.722,15.12,14.697,15.12,182903.96
1631187480000,15.12,15.182,14.684,14.697,127252.57
1631187540000,14.69,14.8,14.343,14.618,105890.27
1631187600000,14.62,14.802,14.517,14.745,64012.31
1631187660000,14.757,14.78,14.525,14.7,37404.26
1631187720000,14.7,14.949,14.578,14.601,71038.72
1631187780000,14.609,14.69,14.279,14.561,89909.09
1631187840000,14.562,14.626,14.35,14.543,36775.73
1631187900000,14.544,14.599,14.263,14.4,36703.73
1631187960000,14.401,14.776,14.401,14.762,32157.81
1631188020000,14.751,14.9,14.6,14.702,87711.75
1631188080000,14.701,15.01,14.52,15.001,66033.59
1631188140000,15.001,15.338,14.914,15.179,170942.16
1631188200000,15.199,15.333,14.987,15.248,68672.86
1631188260000,15.25,15.6,15.201,15.533,182489.08
1631188320000,15.533,15.791,15.444,15.487,116217.25
1631188380000,15.488,15.791,15.45,15.666,74748.04
1631188440000,15.669,15.748,15.518,15.666,62468.46
1631188500000,15.656,15.656,15.307,15.588,55546.92
1631188560000,15.596,15.886,15.587,15.847,98768.34
1631188620000,15.83,15.848,15.4,15.468,82073.85
1631188680000,15.478,15.888,15.467,15.749,75919.72
1631188740000,15.745,16.1,15.643,16.082,148758.98
1631188800000,16.091,16.435,15.806,16.025,266863.66
1631188860000,16.049,16.089,15.605,15.784,138870.13
1631188920000,15.787,15.848,15.459,15.562,76623.58
1631188980000,15.533,15.75,15.504,15.75,61360.8
1631189040000,15.756,15.948,15.643,15.799,130494.02
1631189100000,15.769,15.838,15.55,15.552,36565.05
1631189160000,15.55,15.65,15.353,15.365,47455.34
1631189220000,15.365,15.372,15.144,15.23,96584.31
1631189280000,15.233,15.247,15.115,15.237,51352.0
1631189340000,15.237,15.3,15.04,15.08,87073.88
1631189400000,15.089,15.2,15.076,15.17,26200.22
1631189460000,15.182,15.242,15.15,15.187,40338.75
1631189520000,15.165,15.171,14.822,15.0,93451.02
1631189580000,15.0,15.087,14.966,15.045,21096.31
1631189640000,15.071,15.12,14.929,14.982,33862.46
1631189700000,14.98,15.39,14.969,15.255,74130.24
1631189760000,15.256,15.69,15.255,15.553,102408.67
1631189820000,15.554,15.626,15.358,15.397,50474.66
1631189880000,15.394,15.797,15.387,15.592,57905.36
1631189940000,15.58,15.726,15.484,15.484,44584.81
1631190000000,15.485,15.485,15.131,15.131,35153.09
1631190060000,15.138,15.299,15.101,15.18,26052.13
1631190120000,15.18,15.2,14.93,14.95,45190.25
1631190180000,14.96,15.217,14.904,15.177,31696.42
1631190240000,15.177,15.232,15.088,15.21,23398.36
1631190300000,15.2,15.263,15.1,15.142,19194.1
1631190360000,15.145,15.145,15.0,15.023,19033.27
1631190420000,15.012,15.048,14.863,15.018,41543.82
1631190480000,15.019,15.049,14.975,15.048,18159.27
1631190540000,15.049,15.19,15.043,15.175,28806.33
1631190600000,15.175,15.252,14.956,14.956,34501.65
1631190660000,14.957,15.043,14.645,14.645,68907.49
1631190720000,14.645,14.727,14.5,14.55,103319.56
1631190780000,14.555,14.64,14.4,14.402,68152.46
1631190840000,14.402,14.503,14.3,14.495,76386.37
1631190900000,14.481,14.499,13.976,13.999,146985.28
1631190960000,13.99,14.435,13.983,14.297,182439.28
1631191020000,14.295,14.374,14.131,14.218,59487.81
1631191080000,14.215,14.439,14.1,14.242,77658.68
1631191140000,14.243,14.25,13.919,14.058,101785.54
1631191200000,14.069,14.209,13.999,14.133,57613.9
1631191260000,14.139,14.22,13.98,13.982,89980.59
1631191320000,13.982,14.358,13.98,14.349,71879.53
1631191380000,14.334,14.4,14.147,14.242,59733.6
1631191440000,14.263,14.383,14.229,14.34,40032.86
